"Name","Scan 00836"
"Id","11634692-a574-11f1-ac89-f791b116698a"
"Version","1"
"Firstwavenumber","400"
"LastWavenumber","2300"
"Range","400 - 2300 cm-1"
"Wavelength","785"
"UserName","Default"
"CreatedDate","2026-08-31 15:42:15-04:00"
"ModifiedDate","2026-08-31 15:42:15-04:00"
"ScanNumber","00836"
"HazardLevel","Unknown"
"HazardColor","#d8d8d8"
"SampleHazardType",""
"Comment",""
"ProductId",""
"LotId",""
"BatchId",""
"Container",""
"Supplier",""
"OpName","10S"
"OpVersion","1"
"SmartAcquire","Off"
"IntTime","10.00"
"AutoInt","Off"
"Averages","3"
"LaserPower","5"
"Bdm","Off"
"SmartTipName","Intelligent UA, Bag (Position 2)"
"SmartTipSerialNumber","6075060600901977"
"LibraryMatchResult",""
"MixtureMatchResultCount",""
"SERSResult",""
"VerificationMatchResult",""
"VerificationMatchResultColor","#00ffffff"
"RescanResult",""
"RescanScanNumber",""
"RescanFinished",""
"RescanTotalFailed",""
"ContainerNumber",""
"SerialNumber","192601100702034"
"LastCalibrationDate","2025-12-01 12:10:59-05:00"
"LastSST","Pass, 2025-09-30 09:35:39-04:00"
"DeviceName","MIRA XTR DS 192601100702034"
"FoxCreek","8.0.121"
"NorthFork","1.3.0.107"
"WagonHound","8.2.51"
"Kernel","8.19"
"PackageVersion","8.0.3.60"
"SignatureLevel","Unsigned"
